Step,AdamW_weight_decay_0.0001 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.0001 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.0001 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.0005 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.0005 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.0005 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.001 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.001 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.001 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.005 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.005 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.005 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.01 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.01 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.01 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.05 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.05 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.05 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.1 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.1 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.1 - nuc_by_fro_norm_value/avg__MAX,AdamW_weight_decay_0.5 - nuc_by_fro_norm_value/avg,AdamW_weight_decay_0.5 - nuc_by_fro_norm_value/avg__MIN,AdamW_weight_decay_0.5 - nuc_by_fro_norm_value/avg__MAX
35,3.2065775394439700,3.2065775394439700,3.2065775394439700,3.1471636295318600,3.1471636295318600,3.1471636295318600,2.640672445297240,2.640672445297240,2.640672445297240,3.0370280742645300,3.0370280742645300,3.0370280742645300,3.0103416442871100,3.0103416442871100,3.0103416442871100,3.0216004848480200,3.0216004848480200,3.0216004848480200,2.554887056350710,2.554887056350710,2.554887056350710,1.283179759979250,1.283179759979250,1.283179759979250
36,3.2409327030181900,3.2409327030181900,3.2409327030181900,3.1767165660858200,3.1767165660858200,3.1767165660858200,2.6579272747039800,2.6579272747039800,2.6579272747039800,3.059396743774410,3.059396743774410,3.059396743774410,3.00632905960083,3.00632905960083,3.00632905960083,3.0287787914276100,3.0287787914276100,3.0287787914276100,2.526411771774290,2.526411771774290,2.526411771774290,1.2823282480239900,1.2823282480239900,1.2823282480239900
37,3.253690481185910,3.253690481185910,3.253690481185910,3.1572868824005100,3.1572868824005100,3.1572868824005100,2.6809141635894800,2.6809141635894800,2.6809141635894800,3.073704481124880,3.073704481124880,3.073704481124880,3.014065980911260,3.014065980911260,3.014065980911260,3.023815631866460,3.023815631866460,3.023815631866460,2.498598575592040,2.498598575592040,2.498598575592040,1.2809139490127600,1.2809139490127600,1.2809139490127600
38,3.2502901554107700,3.2502901554107700,3.2502901554107700,3.159198045730590,3.159198045730590,3.159198045730590,2.704998016357420,2.704998016357420,2.704998016357420,3.0775859355926500,3.0775859355926500,3.0775859355926500,3.032183885574340,3.032183885574340,3.032183885574340,3.01873517036438,3.01873517036438,3.01873517036438,2.5117833614349400,2.5117833614349400,2.5117833614349400,1.2814419269561800,1.2814419269561800,1.2814419269561800
39,3.2418179512023900,3.2418179512023900,3.2418179512023900,3.194927215576170,3.194927215576170,3.194927215576170,2.728800058364870,2.728800058364870,2.728800058364870,3.0759031772613500,3.0759031772613500,3.0759031772613500,3.0633952617645300,3.0633952617645300,3.0633952617645300,3.004286050796510,3.004286050796510,3.004286050796510,2.496342658996580,2.496342658996580,2.496342658996580,1.2718662023544300,1.2718662023544300,1.2718662023544300
40,3.241168737411500,3.241168737411500,3.241168737411500,3.229149103164670,3.229149103164670,3.229149103164670,2.740373373031620,2.740373373031620,2.740373373031620,3.1039724349975600,3.1039724349975600,3.1039724349975600,3.0735390186309800,3.0735390186309800,3.0735390186309800,3.0189449787139900,3.0189449787139900,3.0189449787139900,2.5065951347351100,2.5065951347351100,2.5065951347351100,1.2753150463104200,1.2753150463104200,1.2753150463104200
41,3.2697525024414100,3.2697525024414100,3.2697525024414100,3.2406718730926500,3.2406718730926500,3.2406718730926500,2.754945755004880,2.754945755004880,2.754945755004880,3.115938901901250,3.115938901901250,3.115938901901250,3.114704132080080,3.114704132080080,3.114704132080080,3.02221417427063,3.02221417427063,3.02221417427063,2.5080034732818600,2.5080034732818600,2.5080034732818600,1.2688976526260400,1.2688976526260400,1.2688976526260400
42,3.262338638305660,3.262338638305660,3.262338638305660,3.246466875076290,3.246466875076290,3.246466875076290,2.7804319858551000,2.7804319858551000,2.7804319858551000,3.1350507736206100,3.1350507736206100,3.1350507736206100,3.109447479248050,3.109447479248050,3.109447479248050,3.0303447246551500,3.0303447246551500,3.0303447246551500,2.49853515625,2.49853515625,2.49853515625,1.2604784965515100,1.2604784965515100,1.2604784965515100
43,3.252540111541750,3.252540111541750,3.252540111541750,3.276869773864750,3.276869773864750,3.276869773864750,2.8005709648132300,2.8005709648132300,2.8005709648132300,3.134334087371830,3.134334087371830,3.134334087371830,3.1572153568267800,3.1572153568267800,3.1572153568267800,3.03831148147583,3.03831148147583,3.03831148147583,2.478213310241700,2.478213310241700,2.478213310241700,1.259838342666630,1.259838342666630,1.259838342666630
44,3.2924442291259800,3.2924442291259800,3.2924442291259800,3.2760956287384000,3.2760956287384000,3.2760956287384000,2.8129308223724400,2.8129308223724400,2.8129308223724400,3.1472933292388900,3.1472933292388900,3.1472933292388900,3.184319019317630,3.184319019317630,3.184319019317630,3.0244691371917700,3.0244691371917700,3.0244691371917700,2.4916224479675300,2.4916224479675300,2.4916224479675300,1.2575812339782700,1.2575812339782700,1.2575812339782700
