"Step","u^2n-v^2n with reg=0.001, n = 1, x_init_value = normal - reconstruction MSE","u^2n-v^2n with reg=0.001, n = 1, x_init_value = normal - reconstruction MSE__MIN","u^2n-v^2n with reg=0.001, n = 1, x_init_value = normal - reconstruction MSE__MAX","u^2n-v^2n with reg=0.001, n = 2, x_init_value = normal - reconstruction MSE","u^2n-v^2n with reg=0.001, n = 2, x_init_value = normal - reconstruction MSE__MIN","u^2n-v^2n with reg=0.001, n = 2, x_init_value = normal - reconstruction MSE__MAX","u^2n-v^2n with reg=0.001, n = 3, x_init_value = normal - reconstruction MSE","u^2n-v^2n with reg=0.001, n = 3, x_init_value = normal - reconstruction MSE__MIN","u^2n-v^2n with reg=0.001, n = 3, x_init_value = normal - reconstruction MSE__MAX"
"82","0.013742263986912775","0.013742263986912775","0.013742263986912775","0.008971321820284619","0.008971321820284619","0.008971321820284619","0.00679588599553743","0.00679588599553743","0.00679588599553743"
"83","0.013736007511110288","0.013736007511110288","0.013736007511110288","0.008926157721852127","0.008926157721852127","0.008926157721852127","0.006736958887508961","0.006736958887508961","0.006736958887508961"
"84","0.01372053198680924","0.01372053198680924","0.01372053198680924","0.008885989121949527","0.008885989121949527","0.008885989121949527","0.006723901738197225","0.006723901738197225","0.006723901738197225"
"85","0.013706000751460726","0.013706000751460726","0.013706000751460726","0.00884661906643177","0.00884661906643177","0.00884661906643177","0.006680974507225994","0.006680974507225994","0.006680974507225994"
"86","0.013665428969461123","0.013665428969461123","0.013665428969461123","0.008798858747344637","0.008798858747344637","0.008798858747344637","0.006651585593566156","0.006651585593566156","0.006651585593566156"
"87","0.013615434791004247","0.013615434791004247","0.013615434791004247","0.008746969257315461","0.008746969257315461","0.008746969257315461","0.006623219538257884","0.006623219538257884","0.006623219538257884"
"88","0.013593216888328506","0.013593216888328506","0.013593216888328506","0.008712614821194672","0.008712614821194672","0.008712614821194672","0.0065846579921481204","0.0065846579921481204","0.0065846579921481204"
"89","0.013577707699573787","0.013577707699573787","0.013577707699573787","0.008676771064449064","0.008676771064449064","0.008676771064449064","0.006576840596770861","0.006576840596770861","0.006576840596770861"
"90","0.013572476234096074","0.013572476234096074","0.013572476234096074","0.008647098748019576","0.008647098748019576","0.008647098748019576","0.006530882752660776","0.006530882752660776","0.006530882752660776"
"91","0.01353015607310633","0.01353015607310633","0.01353015607310633","0.008595781008124408","0.008595781008124408","0.008595781008124408","0.00651861646705433","0.00651861646705433","0.00651861646705433"
"92","0.013506962496834094","0.013506962496834094","0.013506962496834094","0.008557959838890843","0.008557959838890843","0.008557959838890843","0.006465497360554251","0.006465497360554251","0.006465497360554251"
"93","0.013480331249146695","0.013480331249146695","0.013480331249146695","0.008523225849990313","0.008523225849990313","0.008523225849990313","0.0064597038440476935","0.0064597038440476935","0.0064597038440476935"
"94","0.013468662154544501","0.013468662154544501","0.013468662154544501","0.008485133080302586","0.008485133080302586","0.008485133080302586","0.006412675503856708","0.006412675503856708","0.006412675503856708"
"95","0.013426280464124533","0.013426280464124533","0.013426280464124533","0.008427411157533817","0.008427411157533817","0.008427411157533817","0.006402329904154482","0.006402329904154482","0.006402329904154482"
"96","0.01340669593258222","0.01340669593258222","0.01340669593258222","0.008396703840057213","0.008396703840057213","0.008396703840057213","0.006363554824838722","0.006363554824838722","0.006363554824838722"
"97","0.013383379140944972","0.013383379140944972","0.013383379140944972","0.00835576585754195","0.00835576585754195","0.00835576585754195","0.006348289015087956","0.006348289015087956","0.006348289015087956"
"98","0.013360862481474731","0.013360862481474731","0.013360862481474731","0.008329572497756045","0.008329572497756045","0.008329572497756045","0.006323099659887258","0.006323099659887258","0.006323099659887258"
"99","0.013341753197983294","0.013341753197983294","0.013341753197983294","0.008295449456516014","0.008295449456516014","0.008295449456516014","0.006318118788583123","0.006318118788583123","0.006318118788583123"
"100","0.01333055861314739","0.01333055861314739","0.01333055861314739","0.008268310355017535","0.008268310355017535","0.008268310355017535","0.006295146180220371","0.006295146180220371","0.006295146180220371"
